Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
122,Mohsin Khan,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,20,Bowl
123,Monu Kumar,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23,Bowl
124,MS Dhoni,CSK,IND,455,302,150.7,24,30,79,0,0,-,0,14,4,16,37,WK
125,Mujeeb Ur Rahman,KXI,AFG,10,7,142.9,2,0,10,248,289,7,14,1,1,11,17,Bowl
126,Mujeeb Zadran,KXI,AFG,0,0,-,0,0,0,0,0,-,0,0,0,0,17,Bowl
127,Murugan Ashwin,RCB,IND,1,2,50,0,0,1,42,53,7.6,3,0,0,2,28,Bowl
128,Mustafizur Rahman,MI,BAN,1,3,33.3,0,0,1,165,230,8.4,7,2,0,7,23,Bowl
129,Naman Ojha,DD,IND,1,4,25,0,0,1,0,0,-,0,0,0,1,35,WK
130,Nathan Coulter-Nile,RCB,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,31,Bowl
131,Navdeep Saini,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,Bowl
132,Nitish Rana,KKR,IND,304,232,131,26,14,59,37,44,7.1,4,2,0.5,15,24,BAT
133,Pardeep Sahu,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,33,Bowl
134,Parthiv Patel,RCB,IND,153,109,140.4,20,4,53,0,0,-,0,3,2,6,33,WK
135,Pat Cummins,MI,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,25,Bowl
136,Pavan Deshpande,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,29,AR
137,Pawan Negi,RCB,IND,3,5,60,0,0,3,24,49,12.3,1,0,0.5,2,25,AR
138,Piyush Chawla,KKR,IND,27,34,79.4,1,1,12,294,412,8.4,14,4,0,15,29,Bowl
139,Pradeep Sangwan,MI,IND,0,4,0,0,0,0,12,19,9.5,0,0,0,1,27,Bowl
140,Prashant Chopra,RR,IND,8,6,133.3,2,0,8,0,0,-,0,0,0,1,26,WK
141,Prasid Krishna,KKR,#N/A,1,5,20,0,0,1,168,260,9.3,10,1,0,7,#N/A,NA
142,Prithvi Shaw,DD,IND,245,160,153.1,27,10,65,0,0,-,0,4,0,9,18,BAT
143,Quinton de Kock,RCB,SA,201,162,124.1,20,8,53,0,0,-,0,10,0.5,8,25,WK
144,R Ashwin,KXI,IND,102,71,143.7,7,5,45,304,410,8.1,10,5,1.5,14,32,AR
145,Rahul Chahar,MI,IND,0,0,-,0,0,0,0,0,-,0,1,0,0,19,Bowl
146,Rahul Tewatia,DD,IND,50,43,116.3,5,1,24,132,173,7.9,6,4,0.3,8,25,AR
147,Rahul Tripathi,RR,IND,226,167,135.3,18,8,80,0,0,-,0,4,0,12,27,AR
148,Rashid Khan,SRH,AFG,59,31,190.3,3,6,34,408,458,6.7,21,6,1.5,17,20,Bowl
149,Ravindra Jadeja,CSK,IND,89,74,120.3,3,4,27,246,303,7.4,11,11,0.5,16,29,AR
150,Ricky Bhui,SRH,IND,0,5,0,0,0,0,0,0,-,0,0,0,1,22,BAT
