Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,BallsBowled,RunsConceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
129,Mahela Jayawardene,DD,SL,331,313,105.8,39,6,66,0,0,-,0,4,1,15,35
130,Mahesh Rawat,PWI,IND,5,11,45.5,0,0,5,0,0,-,0,2,0,2,27
131,Manan Vohra,KXI,IND,161,117,137.6,22,2,43,0,0,-,0,3,0,12,19
132,Mandeep Singh,KXI,IND,260,223,116.6,36,0,77,0,0,-,0,6,0.5,16,21
133,Manish Pandey,PWI,IND,136,137,99.3,11,3,66,0,0,-,0,6,0,7,23
134,Manoj Tiwary,KKR,IND,146,140,104.3,12,1,33,0,0,-,0,10,0,10,27
135,Manpreet Gony,KXI,IND,45,25,180,4,3,42,168,256,9.1,7,0,0,8,29
136,Manprit Juneja,DD,IND,125,128,97.7,11,1,49,0,0,-,0,0,0,7,22
137,Manvinder Bisla,KKR,IND,255,236,108.1,36,6,92,0,0,-,0,10,3,14,28
138,Marlon Samuels,PWI,WI,8,18,44.4,1,0,5,24,34,8.5,1,1,0,2,32
139,Mayank Agarwal,BRC,IND,67,62,108.1,6,3,29,0,0,-,0,3,0,5,22
140,MG Neser,KXI,IND,0,0,-,0,0,0,24,62,15.5,0,0,0,1,23
141,Michael Clarke,PWI,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,32
142,Michael Hussey,CSK,AUS,732,564,129.8,81,17,95,0,0,-,0,9,1,16,38
143,Mitchell Johnson,MI,AUS,38,34,111.8,2,2,11,360,440,7.3,22,6,0.5,16,31
144,Mitchell Marsh,PWI,AUS,140,106,132.1,6,10,38,116,182,9.4,7,7,0,9,21
145,Mithun Manhas,PWI,IND,13,17,76.5,1,0,11,0,0,-,0,2,0,3,33
146,Mohit Sharma,CSK,IND,0,3,0,0,0,0,280,300,6.4,19,2,0,14,24
147,Moises Henriques,BRC,AUS,165,125,132,20,3,44,127,185,8.7,7,5,0,10,26
148,Morne Morkel,DD,SA,57,29,196.6,6,3,23,240,335,8.4,7,0,1.5,10,28
